VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,payment_type,fare_amount,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2024-01-10 16:17:16,2024-01-10 16:36:27.556254,1,2.4,7,138,1,11.87,1.12,0.0,1.0,14.0
1,2024-01-01 17:46:54,2024-01-01 18:26:53.441930,2,6.17,158,24,1,28.41,0.89,0.0,1.0,30.3
1,2024-01-14 12:53:44,2024-01-14 12:59:17.253025,6,1.81,236,100,1,8.49,2.13,0.0,1.0,11.63
2,2024-01-07 08:42:36,2024-01-07 09:01:28.546302,1,2.99,50,50,1,13.87,0.75,0.0,1.0,15.62
1,2024-01-02 22:05:00,2024-01-02 22:21:49.896980,1,3.47,138,255,1,15.25,2.46,0.0,1.0,18.71
2,2024-01-27 16:46:01,2024-01-27 17:09:57.717279,6,3.14,13,79,1,18.23,1.88,5.79,1.0,26.91
1,2024-01-25 14:35:34,2024-01-25 14:47:44.674394,5,2.45,48,142,1,12.34,2.96,0.0,1.0,16.31
1,2024-01-08 23:42:28,2024-01-08 23:51:27.010967,6,2.12,186,230,1,8.31,1.16,10.65,1.0,21.12
1,2024-01-29 10:32:50,2024-01-29 10:36:39.645947,2,0.65,230,48,2,5.84,0.0,0.0,1.0,6.84
2,2024-01-02 17:57:28,2024-01-02 18:32:35.827086,6,4.62,7,138,1,21.86,5.01,0.0,1.0,27.87
2,2024-01-03 09:54:53,2024-01-03 10:44:38.177015,2,9.39,107,186,1,37.77,5.25,0.0,1.0,44.02
2,2024-01-23 13:27:40,2024-01-23 13:38:53.774037,1,2.87,113,158,1,12.36,0.41,0.0,1.0,13.77
2,2024-01-08 12:07:58,2024-01-08 12:19:27.224484,1,2.87,138,186,1,12.09,2.11,0.0,1.0,15.19
2,2024-01-25 18:38:13,2024-01-25 18:58:31.166795,3,2.64,50,24,1,14.78,2.74,0.0,1.0,18.52
1,2024-01-19 14:15:16,2024-01-19 14:22:13.616681,2,0.52,43,107,1,6.08,1.52,0.0,1.0,8.59
1,2024-01-13 12:51:47,2024-01-13 12:57:49.003734,5,1.84,140,113,1,7.5,1.25,0.0,1.0,9.74
2,2024-01-15 10:11:43,2024-01-15 10:22:34.100288,4,2.49,68,125,1,11.06,2.52,0.0,1.0,14.58
1,2024-01-23 20:43:17,2024-01-23 20:57:57.259055,1,3.82,186,255,1,16.02,3.4,0.0,1.0,20.43
1,2024-01-30 09:28:36,2024-01-30 09:32:50.091608,1,1.23,138,13,1,7.15,0.56,0.0,1.0,8.71
2,2024-01-18 14:46:22,2024-01-18 14:58:56.696217,6,2.05,162,100,1,11.24,3.08,0.0,1.0,15.31
2,2024-01-22 13:59:12,2024-01-22 14:04:09.431102,5,0.94,230,140,2,4.64,0.0,0.0,1.0,5.64
2,2024-01-08 14:57:16,2024-01-08 15:15:53.874501,1,5.05,100,41,1,19.01,4.36,0.0,1.0,24.37
1,2024-01-08 17:34:17,2024-01-08 17:55:43.725574,2,2.49,162,140,2,14.56,0.0,0.0,1.0,15.56
1,2024-01-13 20:56:12,2024-01-13 21:20:32.630131,1,6.13,237,41,1,20.87,3.22,0.0,1.0,25.09
2,2024-01-13 08:57:19,2024-01-13 09:08:52.615393,3,1.28,125,162,2,10.66,0.0,0.0,1.0,11.66
2,2024-01-19 18:41:58,2024-01-19 19:05:16.714858,3,3.05,100,90,2,18.19,0.0,0.0,1.0,19.19
1,2024-01-29 08:23:13,2024-01-29 08:36:00.224053,1,2.17,186,142,2,10.03,0.0,0.0,1.0,11.03
2,2024-01-27 00:49:48,2024-01-27 00:58:30.810957,2,2.63,43,170,1,9.93,1.78,0.0,1.0,12.71
2,2024-01-28 00:29:28,2024-01-28 00:30:28.000000,1,1.4,50,100,2,6.0,0.0,0.0,1.0,7.0
1,2024-01-08 21:54:24,2024-01-08 21:54:24.000000,1,0.0,4,113,1,7.29,0.66,0.0,1.0,8.95
1,2024-01-09 20:55:51,2024-01-09 21:13:45.527727,5,3.91,237,142,1,16.55,1.48,0.0,1.0,19.03
1,2024-01-05 11:04:40,2024-01-05 11:15:45.379841,3,3.45,186,237,2,13.87,0.0,0.0,1.0,14.87
1,2024-01-25 17:21:34,2024-01-25 17:33:47.632174,3,1.33,230,138,1,9.54,1.49,0.0,1.0,12.04
1,2024-01-27 08:33:09,2024-01-27 09:04:34.897084,2,5.25,236,140,1,24.81,2.14,0.0,1.0,27.95
2,2024-01-11 18:55:00,2024-01-11 19:25:00.352549,6,3.72,138,163,1,22.41,1.41,0.0,1.0,24.82
1,2024-01-30 23:23:06,2024-01-30 23:39:51.665218,4,2.96,161,132,1,14.4,2.7,0.0,1.0,18.09
2,2024-01-28 22:46:56,2024-01-28 22:48:29.134829,3,0.72,43,230,1,7.87,2.26,0.0,1.0,11.13
2,2024-01-02 17:07:07,2024-01-02 17:24:26.787655,1,2.93,43,4,1,12.54,1.75,0.0,1.0,15.29
2,2024-01-20 13:22:23,2024-01-20 13:30:18.477981,3,1.5,186,140,1,9.39,1.16,0.0,1.0,11.55
2,2024-01-30 12:21:16,2024-01-30 12:26:34.594835,4,2.17,138,256,1,8.06,2.03,10.69,1.0,21.78
1,2024-01-01 10:45:02,2024-01-01 10:57:09.845498,5,1.62,161,170,1,9.37,1.32,0.0,1.0,11.69
2,2024-01-24 07:32:46,2024-01-24 07:40:05.707577,1,0.62,236,140,1,7.28,0.88,0.0,1.0,9.16
1,2024-01-06 09:12:45,2024-01-06 09:32:45.595526,1,3.78,170,236,1,16.01,0.52,9.92,1.0,27.45
2,2024-01-29 16:07:21,2024-01-29 16:27:22.442843,1,2.73,161,125,1,14.96,3.55,0.0,1.0,19.51
1,2024-01-31 10:56:20,2024-01-31 11:09:02.693743,1,2.08,161,138,1,12.76,3.63,0.0,1.0,17.39
2,2024-01-01 18:03:32,2024-01-01 18:35:49.323350,1,4.36,100,50,1,19.86,2.38,0.0,1.0,23.24
2,2024-01-23 18:02:16,2024-01-23 18:19:00.846482,1,2.63,13,43,1,12.67,1.41,0.0,1.0,15.08
2,2024-01-30 14:33:48,2024-01-30 14:43:38.222122,6,1.56,138,4,1,7.96,0.6,0.0,1.0,9.56
2,2024-01-14 21:10:50,2024-01-14 21:32:50.227495,2,6.26,68,230,2,-5.0,0.0,0.0,1.0,21.73
2,2024-01-06 19:07:57,2024-01-06 19:37:15.678469,2,4.15,132,138,1,18.69,3.99,0.0,1.0,23.68
2,2024-01-23 07:49:42,2024-01-23 08:03:22.700499,1,2.21,114,255,2,10.33,0.0,2.65,1.0,13.99
1,2024-01-03 19:20:58,2024-01-03 19:34:36.755854,4,2.13,79,50,1,10.95,1.32,0.0,1.0,13.27
1,2024-01-31 19:35:06,2024-01-31 20:04:59.089552,4,4.9,24,79,1,23.05,0.71,0.0,1.0,24.76
1,2024-01-27 12:18:27,2024-01-27 12:22:28.010456,3,2.06,90,170,1,10.29,0.21,0.0,1.0,11.5
2,2024-01-31 14:17:39,2024-01-31 14:37:09.246703,5,4.72,100,13,1,17.33,0.61,0.0,1.0,18.94
1,2024-01-25 06:01:09,2024-01-25 06:08:10.532869,3,1.37,186,142,2,5.19,0.0,0.0,1.0,6.19
2,2024-01-22 10:52:15,2024-01-22 11:21:12.749968,1,5.07,161,43,2,22.19,0.0,0.0,1.0,23.19
2,2024-01-14 22:01:53,2024-01-14 22:06:01.738589,1,2.31,236,48,1,9.31,1.5,10.33,1.0,22.14
2,2024-01-03 21:37:08,2024-01-03 21:51:38.214771,1,3.56,186,142,1,15.14,1.18,0.0,1.0,17.31
2,2024-01-27 17:06:30,2024-01-27 17:18:47.941521,1,2.39,132,161,1,10.57,1.69,0.0,1.0,13.26
1,2024-01-12 02:35:17,2024-01-12 02:40:14.067172,6,1.28,237,68,1,4.27,0.76,0.0,1.0,6.02
1,2024-01-28 03:20:25,2024-01-28 03:35:52.100353,5,3.74,48,90,1,14.93,4.29,0.0,1.0,20.23
1,2024-01-08 16:47:28,2024-01-08 16:59:32.736812,4,2.1,4,90,1,10.44,2.12,0.0,1.0,13.55
2,2024-01-01 09:56:42,2024-01-01 10:02:11.839226,2,0.85,41,43,1,5.24,0.63,9.84,1.0,16.71
2,2024-01-11 17:56:03,2024-01-11 18:08:12.790710,2,1.73,230,7,2,11.09,0.0,0.0,1.0,12.09
1,2024-01-02 07:27:46,2024-01-02 07:41:33.666419,2,1.29,138,186,2,11.06,0.0,0.0,1.0,12.06
1,2024-01-24 23:25:49,2024-01-24 23:47:24.493259,1,6.25,48,41,1,21.89,1.17,0.0,1.0,24.06
2,2024-01-19 07:56:01,2024-01-19 08:14:16.502301,2,2.96,142,113,2,12.88,0.0,0.0,1.0,13.88
2,2024-01-06 11:51:42,2024-01-06 12:11:04.481208,1,4.02,48,50,2,16.26,0.0,5.13,1.0,22.4
2,2024-01-02 07:11:32,2024-01-02 07:35:10.184141,5,4.2,186,79,1,20.43,3.23,0.0,1.0,24.66
1,2024-01-01 12:25:33,2024-01-01 12:32:04.331045,6,1.19,138,255,2,8.36,0.0,0.0,1.0,9.36
2,2024-01-20 11:10:42,2024-01-20 11:26:43.094471,2,3.81,125,43,2,18.22,0.0,0.0,1.0,19.22
1,2024-01-21 17:14:38,2024-01-21 17:34:38.075256,3,2.25,100,158,2,14.06,0.0,8.37,1.0,23.42
2,2024-01-11 20:21:07,2024-01-11 20:31:40.248751,1,1.07,170,162,2,9.83,0.0,0.0,1.0,10.83
2,2024-01-28 19:28:41,2024-01-28 19:50:47.566518,4,3.15,113,230,1,14.81,3.13,0.0,1.0,18.94
1,2024-01-16 18:10:38,2024-01-16 18:26:37.798689,4,2.42,41,140,1,11.98,1.77,0.0,1.0,14.75
2,2024-01-20 23:13:43,2024-01-20 23:30:11.280479,5,6.15,43,90,1,19.16,5.04,0.0,1.0,25.2
1,2024-01-29 05:53:12,2024-01-29 05:54:32.163653,2,1.07,7,162,1,6.49,0.16,0.0,1.0,7.65
1,2024-01-04 19:08:53,2024-01-04 19:47:17.640056,3,5.88,33,162,1,27.07,0.87,0.0,1.0,28.94
1,2024-01-24 08:58:07,2024-01-24 09:11:48.528899,1,1.97,186,142,1,9.11,1.29,0.0,1.0,11.39
1,2024-01-16 16:29:02,2024-01-16 16:50:05.673834,2,3.6,90,13,1,14.41,0.32,0.0,1.0,15.73
1,2024-01-12 19:26:41,2024-01-12 19:39:46.407766,2,1.34,7,50,1,10.26,1.15,0.0,1.0,12.41
1,2024-01-21 17:30:35,2024-01-21 19:06:47.071278,1,14.61,236,13,1,63.18,14.51,0.0,1.0,78.69
2,2024-01-28 07:21:05,2024-01-28 07:42:55.598005,1,2.79,230,50,1,13.56,0.26,0.0,1.0,14.82
2,2024-01-30 08:46:14,2024-01-30 08:55:13.915107,1,1.44,138,142,2,6.91,0.0,0.0,1.0,7.91
1,2024-01-15 20:00:04,2024-01-15 20:12:40.511968,5,2.08,90,114,1,11.2,2.03,0.0,1.0,14.23
1,2024-01-17 21:16:23,2024-01-17 21:26:17.704032,4,1.02,41,186,1,6.84,0.52,0.0,1.0,8.36
1,2024-01-12 18:16:42,2024-01-12 18:39:27.361010,5,2.97,33,163,1,17.88,5.22,0.0,1.0,24.1
2,2024-01-30 10:47:07,2024-01-30 10:51:48.603104,2,1.22,138,230,2,8.66,0.0,0.0,1.0,9.66
1,2024-01-30 09:13:57,2024-01-30 09:27:34.308857,1,2.19,68,170,1,13.74,2.9,0.0,1.0,17.64
2,2024-01-16 07:13:56,2024-01-16 07:23:11.619654,1,1.42,100,138,1,8.59,2.37,0.0,1.0,11.96
2,2024-01-01 14:19:35,2024-01-01 14:38:46.884447,3,5.25,161,162,2,17.7,0.0,0.0,1.0,18.7
1,2024-01-12 12:03:35,2024-01-12 12:31:28.342046,5,6.44,50,100,2,22.33,0.0,0.0,1.0,23.33
1,2024-01-18 09:18:12,2024-01-18 09:35:30.083212,2,2.45,114,256,1,14.96,0.98,0.0,1.0,16.94
1,2024-01-26 17:40:59,2024-01-26 17:56:58.502041,6,2.66,236,43,1,14.54,1.22,0.0,1.0,16.76
1,2024-01-30 09:55:59,2024-01-30 10:13:03.582582,1,2.45,230,170,2,11.78,0.0,0.0,1.0,12.78
1,2024-01-03 07:31:35,2024-01-03 07:45:01.302363,2,2.07,132,142,1,11.39,2.75,0.0,1.0,15.13
1,2024-01-29 13:25:56,2024-01-29 13:40:56.264811,3,2.56,170,132,1,10.79,1.14,0.0,1.0,12.92
1,2024-01-07 18:23:02,2024-01-07 18:57:48.908955,1,4.79,161,132,2,24.93,0.0,0.0,1.0,25.93
2,2024-01-05 08:51:50,2024-01-05 09:10:14.436170,6,2.87,186,13,2,13.33,0.0,0.0,1.0,14.33
1,2024-01-30 16:37:31,2024-01-30 16:53:00.990415,2,1.87,24,230,1,10.91,1.71,0.0,1.0,13.62
1,2024-01-26 07:46:13,2024-01-26 08:13:34.042364,1,4.89,132,113,1,21.6,0.92,0.0,1.0,23.52
1,2024-01-29 10:20:50,2024-01-29 10:37:42.708351,2,1.82,13,140,1,10.84,2.85,0.0,1.0,14.69
1,2024-01-12 19:45:09,2024-01-12 19:52:08.505575,3,1.16,140,114,1,7.01,1.85,0.0,1.0,9.86
1,2024-01-16 08:02:08,2024-01-16 08:15:22.200669,2,1.39,107,161,1,10.77,1.84,0.0,1.0,13.61
2,2024-01-24 17:29:52,2024-01-24 17:48:15.156090,1,2.68,48,114,1,14.37,1.38,0.0,1.0,16.75
2,2024-01-21 01:30:23,2024-01-21 01:40:08.014994,2,2.0,41,43,1,9.35,0.11,0.0,1.0,10.47
1,2024-01-01 15:00:02,2024-01-01 15:28:17.379732,4,9.05,163,90,1,29.88,6.81,0.0,1.0,37.68
2,2024-01-26 09:03:06,2024-01-26 09:17:07.673118,6,2.52,48,68,1,14.92,1.24,0.0,1.0,17.15
1,2024-01-01 09:06:33,2024-01-01 09:22:38.703033,2,2.1,256,158,1,12.61,2.96,0.0,1.0,16.56
1,2024-01-04 15:52:20,2024-01-04 16:17:28.115308,1,5.48,161,236,2,21.85,0.0,0.0,1.0,22.85
2,2024-01-07 23:22:03,2024-01-07 23:31:16.956265,3,1.94,113,162,1,11.01,0.01,0.0,1.0,12.01
2,2024-01-22 09:59:39,2024-01-22 10:14:12.143595,5,2.84,163,161,1,13.65,3.5,4.21,1.0,22.37
2,2024-01-18 15:59:09,2024-01-18 16:24:33.531752,5,7.15,4,68,1,25.76,2.7,8.06,1.0,37.52
2,2024-01-27 12:39:10,2024-01-27 12:55:11.275477,2,3.38,7,125,2,14.65,0.0,0.0,1.0,15.65
1,2024-01-30 17:01:22,2024-01-30 17:37:35.355262,6,5.25,140,161,1,22.7,2.06,0.0,1.0,25.76
2,2024-01-04 21:48:39,2024-01-04 21:57:21.833970,4,1.91,236,4,1,7.85,1.78,0.0,1.0,10.63
2,2024-01-26 13:32:28,2024-01-26 13:34:15.790477,4,0.68,24,170,1,5.4,1.35,0.0,1.0,7.75
1,2024-01-24 21:57:34,2024-01-24 22:07:55.676049,1,2.11,140,114,1,10.68,1.88,0.0,1.0,13.55
1,2024-01-06 21:21:40,2024-01-06 21:39:20.664644,3,3.14,140,107,1,14.82,3.24,0.0,1.0,19.06
1,2024-01-01 20:23:19,2024-01-01 20:57:08.782757,3,9.73,255,186,2,30.86,0.0,0.0,1.0,31.86
2,2024-01-06 09:40:59,2024-01-06 09:49:55.604783,2,1.25,161,140,1,8.98,2.27,0.0,1.0,12.26
2,2024-01-22 17:24:19,2024-01-22 18:00:00.927875,1,5.22,140,4,2,22.23,0.0,2.86,1.0,26.09
2,2024-01-28 11:58:48,2024-01-28 12:12:43.813548,1,3.55,90,90,1,14.71,2.3,0.0,1.0,18.01
1,2024-01-09 08:29:50,2024-01-09 08:51:07.812231,1,3.01,107,142,1,16.93,4.71,7.36,1.0,30.01
1,2024-01-23 14:39:42,2024-01-23 14:51:18.417855,4,2.4,142,230,2,14.87,0.0,0.0,1.0,15.87
1,2024-01-08 14:20:19,2024-01-08 14:34:12.455041,3,3.56,138,132,1,16.44,0.58,0.0,1.0,18.01
1,2024-01-18 17:08:06,2024-01-18 17:30:13.310932,3,3.01,4,50,2,19.49,0.0,0.0,1.0,20.49
1,2024-01-29 11:40:29,2024-01-29 11:47:59.710103,2,2.32,162,24,2,9.7,0.0,0.0,1.0,10.7
2,2024-01-02 07:11:56,2024-01-02 07:24:37.818703,6,1.85,158,230,2,11.77,0.0,0.0,1.0,12.77
1,2024-01-08 10:33:52,2024-01-08 10:59:59.710029,4,3.9,43,113,1,17.2,3.2,0.0,1.0,21.4
1,2024-01-05 19:44:19,2024-01-05 19:56:34.622193,6,1.67,161,186,2,9.8,0.0,2.46,1.0,13.26
2,2024-01-13 20:39:14,2024-01-13 20:47:07.158847,2,1.4,41,68,1,8.23,2.39,0.0,1.0,11.62
1,2024-01-18 06:27:16,2024-01-18 06:53:48.142764,6,7.24,186,230,1,24.03,0.07,0.0,1.0,25.1
2,2024-01-21 09:46:07,2024-01-21 09:51:49.284124,2,1.31,90,113,1,5.83,1.48,0.0,1.0,8.31
1,2024-01-27 06:37:32,2024-01-27 06:55:55.827335,1,3.5,186,13,2,14.02,0.0,0.0,1.0,15.02
2,2024-01-05 15:31:10,2024-01-05 15:36:39.740560,5,1.59,230,142,1,8.74,0.91,0.0,1.0,10.65
2,2024-01-21 08:10:10,2024-01-21 08:23:45.137975,1,2.4,236,230,1,8.5,1.12,0.0,1.0,10.61
2,2024-01-26 18:55:15,2024-01-26 19:23:55.664178,4,4.09,41,255,1,20.21,5.29,0.0,1.0,26.5
2,2024-01-16 19:10:19,2024-01-16 19:29:11.503140,1,2.55,256,7,1,13.85,3.91,0.0,1.0,18.77
2,2024-01-20 15:09:11,2024-01-20 15:16:33.481542,1,1.84,79,138,2,10.72,0.0,0.0,1.0,11.72
2,2024-01-29 14:58:03,2024-01-29 15:04:22.569950,1,1.39,13,163,1,8.51,1.63,0.0,1.0,11.14
1,2024-01-29 15:29:52,2024-01-29 15:39:13.413573,1,1.05,161,161,1,-5.0,2.43,0.0,1.0,11.63
1,2024-01-02 09:14:50,2024-01-02 09:38:02.972810,2,3.55,113,161,1,17.9,0.05,0.0,1.0,18.95
1,2024-01-19 17:12:50,2024-01-19 17:49:07.151289,3,5.37,162,43,1,26.9,4.89,0.0,1.0,32.8
2,2024-01-05 17:19:35,2024-01-05 17:36:34.269977,1,2.3,237,186,2,13.31,0.0,0.0,1.0,14.31
2,2024-01-01 08:31:46,2024-01-01 08:42:33.063874,6,1.16,107,7,1,9.08,2.31,0.0,1.0,12.38
1,2024-01-08 11:19:21,2024-01-08 11:45:04.980758,1,5.86,61,43,1,22.38,3.94,0.0,1.0,27.32
2,2024-01-06 14:35:07,2024-01-06 14:41:00.439711,1,0.78,100,100,1,7.97,0.52,0.0,1.0,9.49
1,2024-01-01 21:16:45,2024-01-01 21:29:55.657779,4,2.68,142,24,1,10.5,0.56,0.0,1.0,12.06
1,2024-01-16 08:03:24,2024-01-16 08:17:12.964185,1,1.96,79,132,2,12.5,0.0,0.0,1.0,13.5
1,2024-01-14 07:56:51,2024-01-14 08:53:37.156639,6,9.87,255,140,1,38.96,11.65,0.0,1.0,51.61
1,2024-01-15 08:07:48,2024-01-15 08:23:58.997751,1,2.74,48,113,1,15.94,0.56,0.0,1.0,17.51
2,2024-01-13 09:02:23,2024-01-13 09:12:24.026545,4,2.27,13,140,2,10.51,0.0,0.0,1.0,11.51
2,2024-01-19 16:06:52,2024-01-19 16:21:29.262897,6,1.79,132,237,1,9.89,2.87,0.0,1.0,13.76
2,2024-01-05 04:15:15,2024-01-05 04:31:54.047924,1,4.91,260,68,2,17.08,0.0,0.0,1.0,18.08
2,2024-01-07 05:42:18,2024-01-07 05:59:23.531398,1,5.94,158,236,1,19.95,5.45,0.0,1.0,26.4
2,2024-01-02 20:03:34,2024-01-02 20:07:14.532406,2,0.56,230,237,1,3.98,0.4,0.0,1.0,5.37
2,2024-01-10 07:05:53,2024-01-10 07:34:28.016623,2,3.92,158,161,1,20.31,2.0,0.0,1.0,23.31
1,2024-01-03 11:36:45,2024-01-03 11:57:06.854537,1,3.21,158,107,1,20.16,2.13,11.98,1.0,35.26
1,2024-01-20 12:51:10,2024-01-20 13:05:31.010636,2,2.57,142,255,1,13.79,4.1,0.0,1.0,18.89
2,2024-01-15 19:05:45,2024-01-15 20:02:41.671129,1,8.83,107,113,1,38.3,10.34,0.0,1.0,49.64
2,2024-01-17 21:40:23,2024-01-17 22:00:55.484941,2,4.83,236,13,1,16.05,3.45,0.0,1.0,20.51
2,2024-01-23 18:17:29,2024-01-23 18:38:12.200686,1,2.42,186,43,1,12.87,0.16,0.0,1.0,14.03
2,2024-01-08 15:25:17,2024-01-08 15:30:58.658033,2,1.63,125,158,2,9.7,0.0,0.0,1.0,10.7
2,2024-01-05 15:57:51,2024-01-05 16:06:04.835271,1,0.74,41,48,1,8.94,1.74,0.0,1.0,11.69
2,2024-01-12 13:16:35,2024-01-12 13:23:22.650122,2,1.78,230,138,1,8.97,2.45,0.0,1.0,12.43
1,2024-01-23 23:08:00,2024-01-23 23:11:23.188669,1,1.04,90,186,1,3.69,0.47,4.85,1.0,10.01
1,2024-01-04 22:20:30,2024-01-04 22:36:45.623823,2,4.62,255,161,1,16.0,1.81,0.0,1.0,18.81
2,2024-01-06 18:33:11,2024-01-06 18:44:30.020527,1,1.66,79,186,1,8.52,1.17,0.0,1.0,10.69
2,2024-01-30 20:34:53,2024-01-30 20:44:34.757796,3,1.51,43,113,2,9.04,0.0,0.0,1.0,10.04
1,2024-01-18 16:10:58,2024-01-18 17:04:35.226722,4,7.28,162,186,2,35.34,0.0,0.0,1.0,36.34
1,2024-01-27 16:13:00,2024-01-27 16:29:23.782137,3,2.56,48,4,1,9.22,2.23,0.0,1.0,12.45
2,2024-01-10 18:05:32,2024-01-10 18:17:58.117490,4,1.53,50,90,1,7.17,1.9,0.0,1.0,10.07
1,2024-01-21 12:59:40,2024-01-21 13:13:45.640312,1,4.01,163,43,2,16.03,0.0,0.0,1.0,17.03
2,2024-01-04 17:06:12,2024-01-04 17:18:07.983693,2,1.01,158,138,1,9.58,1.55,0.0,1.0,12.13
2,2024-01-29 13:58:35,2024-01-29 14:05:27.288198,1,1.64,50,48,1,7.4,0.6,0.0,1.0,9.0
1,2024-01-24 21:54:46,2024-01-24 22:07:33.068094,1,2.43,100,161,1,10.96,0.5,0.0,1.0,12.46
1,2024-01-31 12:38:06,2024-01-31 12:40:51.491471,3,1.21,236,50,1,6.11,0.05,0.0,1.0,7.16
1,2024-01-16 17:16:31,2024-01-16 17:35:53.107208,1,2.49,82,132,1,13.87,0.78,0.0,1.0,15.65
2,2024-01-03 02:52:13,2024-01-03 03:00:30.271135,2,2.22,142,24,1,9.14,0.21,0.0,1.0,10.35
2,2024-01-15 16:42:01,2024-01-15 17:03:56.307284,1,3.57,48,138,1,14.74,0.17,0.0,1.0,15.91
2,2024-01-11 18:30:02,2024-01-11 18:52:56.158607,1,2.73,4,237,1,17.81,3.62,0.0,1.0,22.43
2,2024-01-15 19:21:10,2024-01-15 19:39:35.959697,2,2.33,79,107,2,12.82,0.0,0.0,1.0,13.82
1,2024-01-25 20:29:38,2024-01-25 20:41:49.333710,6,3.34,43,230,2,12.77,0.0,6.07,1.0,19.84
1,2024-01-08 15:09:14,2024-01-08 15:22:56.512644,1,2.02,186,132,1,12.89,1.92,0.0,1.0,15.8
2,2024-01-16 16:53:10,2024-01-16 16:53:10.000000,5,0.0,43,79,1,10.91,0.59,0.0,1.0,12.5
1,2024-01-12 11:12:27,2024-01-12 11:26:41.867082,2,3.53,142,100,1,16.83,2.45,0.0,1.0,20.27
1,2024-01-23 22:50:07,2024-01-23 23:09:24.752965,3,4.39,186,100,1,16.25,1.39,0.0,1.0,18.64
1,2024-01-19 17:42:47,2024-01-19 18:00:39.433429,3,1.19,161,230,1,11.62,1.28,0.0,1.0,13.9
2,2024-01-22 10:02:46,2024-01-22 10:30:57.005763,2,3.62,50,68,1,22.0,4.03,0.0,1.0,27.02
1,2024-01-01 21:18:25,2024-01-01 21:27:24.789638,1,2.11,237,82,1,10.08,1.33,0.0,1.0,12.41
2,2024-01-29 17:50:36,2024-01-29 18:05:29.824128,2,2.71,230,186,1,13.22,1.41,0.0,1.0,15.63
1,2024-01-31 17:16:23,2024-01-31 17:53:07.565057,1,5.64,230,132,2,25.58,0.0,0.0,1.0,26.58
2,2024-01-11 07:19:22,2024-01-11 07:28:39.349523,4,1.6,43,260,2,8.18,0.0,0.0,1.0,9.18
1,2024-01-03 03:49:54,2024-01-03 03:55:56.999175,2,1.11,43,68,1,8.82,0.14,0.0,1.0,9.97
2,2024-01-03 16:20:54,2024-01-03 16:32:38.579621,1,1.57,256,236,1,9.07,1.2,0.0,1.0,11.27
